Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Valor:Monto,Entrega compilada:Adjudicaciones:Valor:Moneda,Entrega compilada:Adjudicaciones:Valor:Nombre de Moneda,Entrega compilada:Adjudicaciones:Fecha de adjudicación
ocds-dgv273-seacev3-1089627,ocds-dgv273-seacev3-1089627-2026-05-31T10:14:37.914337-05:00,1089627-1645789,1061179.94,PEN,Soles,2025-03-13T00:00:00-05:00
ocds-dgv273-seacev3-2025-200426-2,ocds-dgv273-seacev3-2025-200426-2-2026-05-30T10:21:53.306353-05:00,1086698-20604742821,258703.2,PEN,Soles,2025-02-06T00:00:00-05:00
ocds-dgv273-seacev3-2025-11-20,ocds-dgv273-seacev3-2025-11-20-2026-05-29T10:32:41.265232-05:00,1086085-20517372294,1549203.04,PEN,Soles,2025-02-21T00:00:00-05:00
ocds-dgv273-seacev3-2025-1249-1,ocds-dgv273-seacev3-2025-1249-1-2026-05-29T10:31:47.016649-05:00,1086693-1642612,3997985.87,PEN,Soles,2025-02-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-278-23,ocds-dgv273-seacev3-2025-278-23-2026-05-28T10:20:19.290546-05:00,1086362-1641187,3920346.24,PEN,Soles,2025-02-04T00:00:00-05:00
ocds-dgv273-seacev3-2025-1903-52,ocds-dgv273-seacev3-2025-1903-52-2026-05-23T10:24:49.833971-05:00,1087617-20100070970,2308739.4,PEN,Soles,2025-03-06T00:00:00-05:00
ocds-dgv273-seacev3-1102116,ocds-dgv273-seacev3-1102116-2026-05-23T10:24:39.902015-05:00,1102116-20455403759,234000.0,PEN,Soles,2025-04-14T00:00:00-05:00
ocds-dgv273-seacev3-1086906,ocds-dgv273-seacev3-1086906-2026-05-23T10:24:17.763688-05:00,1086906-20100128218,18319806.0,PEN,Soles,2025-02-03T00:00:00-05:00
ocds-dgv273-seacev3-1106974,ocds-dgv273-seacev3-1106974-2026-05-22T10:32:42.208310-05:00,1106974-1670486,7154708.4,PEN,Soles,2025-05-06T00:00:00-05:00
ocds-dgv273-seacev3-1106974,ocds-dgv273-seacev3-1106974-2026-05-22T10:32:42.208310-05:00,1106974-20600472233,7154708.4,PEN,Soles,2025-05-06T00:00:00-05:00
ocds-dgv273-seacev3-1087398,ocds-dgv273-seacev3-1087398-2026-05-22T10:32:20.488036-05:00,1087398-1648470,609162.07,PEN,Soles,2025-03-12T00:00:00-05:00
ocds-dgv273-seacev3-2025-200039-1,ocds-dgv273-seacev3-2025-200039-1-2026-05-21T10:32:33.411838-05:00,1087587-1649883,2295975.67,PEN,Soles,2025-04-07T00:00:00-05:00
ocds-dgv273-seacev3-1087588,ocds-dgv273-seacev3-1087588-2026-05-21T10:32:22.754532-05:00,1087588-10455003208,70000.0,PEN,Soles,2025-01-31T00:00:00-05:00
ocds-dgv273-seacev3-2024-200013-88,ocds-dgv273-seacev3-2024-200013-88-2026-05-21T10:31:27.997967-05:00,1085362-1641660,19520044.99,PEN,Soles,2025-02-04T00:00:00-05:00
ocds-dgv273-seacev3-2025-178-1,ocds-dgv273-seacev3-2025-178-1-2026-05-20T10:31:33.315011-05:00,1085870-1638583,212588.31,PEN,Soles,2025-01-27T00:00:00-05:00
ocds-dgv273-seacev3-2025-20-17,ocds-dgv273-seacev3-2025-20-17-2026-05-20T10:31:14.079920-05:00,1087076-20418896915,2389486.08,PEN,Soles,2025-03-13T00:00:00-05:00
ocds-dgv273-seacev3-1153179,ocds-dgv273-seacev3-1153179-2026-05-17T10:13:00.672652-05:00,1153179-20525400892,1947787.28,PEN,Soles,2025-09-22T00:00:00-05:00
ocds-dgv273-seacev3-1153179,ocds-dgv273-seacev3-1153179-2026-05-17T10:13:00.672652-05:00,1153179-1722705,1947787.28,PEN,Soles,2025-09-30T00:00:00-05:00
ocds-dgv273-seacev3-2025-191147-1,ocds-dgv273-seacev3-2025-191147-1-2026-05-16T10:21:20.536917-05:00,1086896-20604103836,1481304.0,PEN,Soles,2025-03-13T00:00:00-05:00
ocds-dgv273-seacev3-1103863,ocds-dgv273-seacev3-1103863-2026-05-15T10:33:31.566615-05:00,1103863-1696880,467794135.53,PEN,Soles,2025-06-25T00:00:00-05:00
ocds-dgv273-seacev3-2025-1611-1,ocds-dgv273-seacev3-2025-1611-1-2026-05-13T10:35:15.518799-05:00,1086074-20526090111,1698523.27,PEN,Soles,2025-02-12T00:00:00-05:00
ocds-dgv273-seacev3-2025-1003026750-6,ocds-dgv273-seacev3-2025-1003026750-6-2026-05-10T21:37:08.810332-05:00,1086595-20554611126,528480.0,PEN,Soles,2025-02-07T00:00:00-05:00
ocds-dgv273-seacev3-2025-200418-6,ocds-dgv273-seacev3-2025-200418-6-2026-05-10T21:36:58.699912-05:00,1087460-20603381824,216000.0,PEN,Soles,2025-02-11T00:00:00-05:00
ocds-dgv273-seacev3-2025-1369-6,ocds-dgv273-seacev3-2025-1369-6-2026-05-08T10:36:44.771880-05:00,1087068-20491305119,341940.0,PEN,Soles,2025-02-26T00:00:00-05:00
ocds-dgv273-seacev3-2025-200021-2,ocds-dgv273-seacev3-2025-200021-2-2026-04-29T10:18:11.992999-05:00,1087159-20509435341,386556.24,PEN,Soles,2025-02-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-47-37,ocds-dgv273-seacev3-2025-47-37-2026-04-26T10:13:29.514943-05:00,1087443-1647007,75027.99,PEN,Soles,2025-02-27T00:00:00-05:00
ocds-dgv273-seacev3-1105226,ocds-dgv273-seacev3-1105226-2026-04-25T10:19:29.826313-05:00,1105226-1662454,2452393.37,PEN,Soles,2025-04-03T00:00:00-05:00
ocds-dgv273-seacev3-2025-200025-12,ocds-dgv273-seacev3-2025-200025-12-2026-04-24T10:18:44.933960-05:00,1091897-10703610124,42000.0,PEN,Soles,2025-02-21T00:00:00-05:00
ocds-dgv273-seacev3-2025-2364-25,ocds-dgv273-seacev3-2025-2364-25-2026-04-24T10:18:33.937695-05:00,1085959-20332970411,722475.93,PEN,Soles,2025-03-11T00:00:00-05:00
ocds-dgv273-seacev3-1088785,ocds-dgv273-seacev3-1088785-2026-04-23T10:35:58.102508-05:00,1088785-1644894,176723519.15,PEN,Soles,2025-02-27T00:00:00-05:00
ocds-dgv273-seacev3-2025-1903-44,ocds-dgv273-seacev3-2025-1903-44-2026-04-19T10:08:26.418704-05:00,1086834-20605447920,2217536.64,PEN,Soles,2025-03-04T00:00:00-05:00
ocds-dgv273-seacev3-2025-137923-4,ocds-dgv273-seacev3-2025-137923-4-2026-04-17T10:28:02.262673-05:00,1085725-1646830,3455351.0,PEN,Soles,2025-02-26T00:00:00-05:00
ocds-dgv273-seacev3-1085253,ocds-dgv273-seacev3-1085253-2026-04-16T10:35:22.617817-05:00,1085253-1649075,11697569.91,PEN,Soles,2025-03-13T00:00:00-05:00
ocds-dgv273-seacev3-1087124,ocds-dgv273-seacev3-1087124-2026-04-12T10:04:51.114048-05:00,1087124-10225172540,601128.0,PEN,Soles,2025-02-12T00:00:00-05:00
ocds-dgv273-seacev3-2025-200537-21,ocds-dgv273-seacev3-2025-200537-21-2026-04-12T10:04:41.411164-05:00,1088347-1717322,421673.0,PEN,Soles,2025-09-04T00:00:00-05:00
ocds-dgv273-seacev3-2025-137923-10,ocds-dgv273-seacev3-2025-137923-10-2026-04-12T10:04:41.381282-05:00,1086669-20262241441,14617974.41,PEN,Soles,2025-05-07T00:00:00-05:00
ocds-dgv273-seacev3-1181928,ocds-dgv273-seacev3-1181928-2026-04-09T10:17:45.319753-05:00,1181928-10099884431,3425.0,PEN,Soles,2026-03-26T00:00:00-05:00
ocds-dgv273-seacev3-1181964,ocds-dgv273-seacev3-1181964-2026-04-09T10:17:34.426377-05:00,1181964-20544434391,4080.0,PEN,Nuevos Soles,2026-03-26T00:00:00-05:00
ocds-dgv273-seacev3-1181693,ocds-dgv273-seacev3-1181693-2026-04-09T10:17:34.050362-05:00,1181693-20603471955,33000.0,PEN,Nuevos Soles,2026-03-26T00:00:00-05:00
ocds-dgv273-seacev3-2025-1326-6,ocds-dgv273-seacev3-2025-1326-6-2026-04-09T10:17:10.035289-05:00,1087209-1650203,6478668.0,PEN,Soles,2025-03-10T00:00:00-05:00
ocds-dgv273-seacev3-1181923,ocds-dgv273-seacev3-1181923-2026-04-08T10:12:43.679282-05:00,1181923-20601211361,5910.0,PEN,Soles,2026-03-26T00:00:00-05:00
ocds-dgv273-seacev3-1087301,ocds-dgv273-seacev3-1087301-2026-04-08T10:12:32.697512-05:00,1087301-1645344,374686.56,PEN,Soles,2025-02-21T00:00:00-05:00
ocds-dgv273-seacev3-1087948,ocds-dgv273-seacev3-1087948-2026-04-08T10:12:11.096721-05:00,1087948-1643954,162720.0,PEN,Soles,2025-02-14T00:00:00-05:00
ocds-dgv273-seacev3-1180481,ocds-dgv273-seacev3-1180481-2026-04-03T10:07:02.828827-05:00,1180481-10705842341,30000.0,PEN,Soles,2026-02-13T00:00:00-05:00
ocds-dgv273-seacev3-2025-1039-17,ocds-dgv273-seacev3-2025-1039-17-2026-04-03T10:07:01.642684-05:00,1086119-20601021642,384018.44,PEN,Soles,2025-02-24T00:00:00-05:00
ocds-dgv273-seacev3-1180438,ocds-dgv273-seacev3-1180438-2026-04-03T10:06:53.134735-05:00,1180438-10464246971,30000.0,PEN,Nuevos Soles,2026-02-13T00:00:00-05:00
ocds-dgv273-seacev3-2025-12-10,ocds-dgv273-seacev3-2025-12-10-2026-04-02T10:15:00.134129-05:00,1087585-20601516471,109880.0,PEN,Soles,2025-03-17T00:00:00-05:00
ocds-dgv273-seacev3-2025-1284-1,ocds-dgv273-seacev3-2025-1284-1-2026-04-02T10:14:16.891115-05:00,1087489-20453552846,162517.87,PEN,Soles,2025-02-07T00:00:00-05:00
ocds-dgv273-seacev3-2025-200019-35,ocds-dgv273-seacev3-2025-200019-35-2026-04-01T10:14:05.761136-05:00,1086630-20101064191,2951043.59,USD,Dólar Norteamericano,2025-01-24T00:00:00-05:00
ocds-dgv273-seacev3-2025-200537-12,ocds-dgv273-seacev3-2025-200537-12-2026-03-29T10:02:15.352944-05:00,1088094-1711613,591609.18,PEN,Soles,2025-08-28T00:00:00-05:00
ocds-dgv273-seacev3-2025-200461-116,ocds-dgv273-seacev3-2025-200461-116-2026-03-28T10:10:53.407743-05:00,1091616-10093596604,27000.0,PEN,Soles,2025-02-20T00:00:00-05:00
ocds-dgv273-seacev3-2025-2000-167,ocds-dgv273-seacev3-2025-2000-167-2026-03-26T10:12:34.669385-05:00,1086908-20602939881,218531.64,PEN,Soles,2025-02-06T00:00:00-05:00
ocds-dgv273-seacev3-2025-200025-25,ocds-dgv273-seacev3-2025-200025-25-2026-03-22T10:01:41.052714-05:00,1102617-20509023663,139192.8,PEN,Soles,2025-03-26T00:00:00-05:00
ocds-dgv273-seacev3-2025-10552-6,ocds-dgv273-seacev3-2025-10552-6-2026-03-22T10:01:31.615139-05:00,1087333-20526380381,524000.0,PEN,Soles,2025-02-12T00:00:00-05:00
